@relation sentiment
@attribute 0 string
@attribute 1 string
@attribute 2 {excited,joyful,natural,nervous,sad,angry}
@data
'﻿﻿ㅍㅣ','ㄱㅓㄲㅜㄹㅗㅅㅗㅅㄷㅏ',angry
'ㄱㅏㅅㅣ','ㄱㅏㄷㅏ',angry
'ㄱㅏㅊㅐㅇㅍㅣ','ㅎㅏㅁㅎㅏㄷㅏ',angry
'ㄱㅏㅇㅟ','ㄱㅏㅇㅟㄴㅜㄹㄹㅣㄷㅏ',angry
'ㄱㅏㅎㅏ','ㅇㅓㅄㄷㅏ',angry
'ㄱㅏㄴㅅㅓㅂ','ㅅㅣㅀㄷㅏ',angry
'ㄱㅐ','ㄱㅐㄱㅐㄷㅏ',angry
'ㄱㅐㄴㅛㄴ','ㅇㅗㅈㅣㅇㅏㄶㄷㅏ',angry
'ㄱㅐㅁㅏㅇㄴㅏㄴㅣㄱㅐㅁㅏㅇ','ㄱㅐㅁㅏㅇㄴㅏㄴㅣ',angry
'ㄱㅐㅅㅐㄲㅣ','ㄱㅐㅅㅐㄲㅣㄷㅏㄱㅊㅣㄷㅏ',angry
'ㄱㅐㅅㅐㄲㅣ','ㄱㅐㅅㅐㄲㅣ',angry
'ㄱㅐㅅㅣㄹㅓ','ㄱㅐㅅㅣㄹㅓ',angry
'ㄱㅐㅅㅣㄹㅁㅏㅇ','ㄱㅐㅅㅣㄹㅁㅏㅇ',angry
'ㄱㅐㅉㅏㅈㅡㅇ','ㄱㅐㅉㅏㅈㅡㅇ',angry
'ㄱㅐㅉㅏㅇ','ㄱㅐㅉㅏㅇ',angry
'ㄱㅐㅍㅏㄴ','ㄴㅔ',angry
'ㄱㅐㅍㅣㄱㅗㄴ','ㄱㅐㅍㅣㄱㅗㄴ',angry
'ㄱㅐㅎㅣㅁㄷㅡㄹㄷㅏ','ㄱㅐㅎㅣㅁㄷㅡㄹㄷㅏ',angry
'ㄱㅐㅊㅏㄶ','ㄱㅐㄷㅏ',angry
'ㄱㅓㅈㅣ','ㄱㅓㅈㅣ',angry
'ㄱㅓㄴㄷㅡㄹㅁㅏ','ㄱㅓㄴㄷㅡㄹㄷㅏ',angry
'ㄱㅓㅂㄴㅏㅅㅟ','ㅇㅣㅅㄷㅏ',angry
'ㄱㅓㅂㄴㅏㅈㅐㅁㅣ','ㅈㅐㅁㅣㅇㅓㅄㄷㅏ',angry
'ㄱㅓㅂㄴㅏㅈㅛㅇㅏ','ㄷㅡㄹ',angry
'ㄱㅗㅁㅏㄴㅈㅗㅁ','ㅇㅣㄺㄷㅏ',angry
'ㄱㅗㄹㄷㅡㄹㅇㅓ','ㄱㅏㄷㅏ',angry
'ㄱㅗㅇㄱㅜㄹㅣㅅㅂㄱㅓㅅ','ㅅㅂㄱㅓㅅ',angry
'ㄱㅗㅇㅂㅜ','ㅈㅗㅁㅈㅗㄷㅏ',angry
'ㄱㅘㄴㅅㅣㅁ','ㄱㅘㄴㅅㅣㅁㅇㅓㅄㄷㅏ',angry
'ㄱㅛㅇㅠㄱㅇㅏㄲㅏㄲㅡㅌㄴㅏㅅㄴㅡㄴㄷㅔ','ㄹㅏㄴ.',angry
'ㄱㅛㅎㅚ','ㅎㅐㅅㅓㅎㅏㄷㅏ',angry
'ㄱㅜㄹㅐㅅㅓ','ㄱㅐ',angry
'ㄱㅟ','ㅈㅗㅈㅂㅏㄱㅇㅏㅆㄴㅑ',angry
'ㄱㅟㅊㅏㄶㄱㅔㅈㅗㅁ','ㅎㅏㄷㅏ',angry
'ㄱㅟㅊㅏㄶㅈㅜㄱ','ㅈㅜㄱㄷㅏ',angry
'ㄱㅟㅅㄱㅜㅁㅓㅇㅊㅓㅁㅏㄱㅎㅕㅆㄴㅑ','ㅊㅓㅁㅏㄱㅎㅕㅆㄴㅑ',angry
'ㄱㅡㄴㅑㅇㅎㅠㅈㅣㅈㅣ','ㄱㅡㄴㅑㅇ',angry
'ㄱㅡㄴㅣㄲㅏㅇㅗ','ㄱㅡ',angry
'ㄱㅡㄸㅏㄱㅜ','ㅎㅏㄷㅏ',angry
'ㄱㅡㄸㅏㅇㅟㄱㅓㅅㅁㅓㄱㅇㅡㄹㅓ','ㄱㅓㅇㅏㄹㄷㅏ',angry
'ㄱㅡㄸㅏㅇㅟㄱㅓㅅ','ㄱㅓㅅ',angry
'ㄱㅡㄸㅏㅇㅟ','ㄱㅡㄸㅏㅇㅟㅅㅏㄹㅈㅣㄷㅏ',angry
'ㄱㅡㄸㅏ','ㅎㅏㄴㅌㅔㅆㅡㄷㅏ',angry
'ㄱㅡㄹㅐㄷㅗ','ㅇㅏㄴㄷㅚㄷㅏ',angry
'ㄱㅡㄹㅐㄷㅗ','ㄱㅡㄹㅐㅅㅏㄷㅏ',angry
'ㄱㅡㄹㅐㄷㅗㄴㅐ','ㄱㅡㄹㅐ',angry
'ㄱㅡㄹㅐㅅㅓㅇㅜㄹㅣ','ㄱㅡㄹㅐㅅㅓ',angry
'ㄱㅡㄹㅐㅁㅣㅊㅣ','ㄱㅡㄹㅐㅁㅣㅊㅣㄷㅏ',angry
'ㄱㅡㄹㅓㄱㅗ','ㅎㅐㅎㅏㄷㅏ',angry
'ㄱㅡㄹㅓㄷㅏㅎㅜㄱㄱㅏㅁ','ㄱㅡㄹㅓㄱㅡㄹㅡㄷㅏ',angry
'ㄱㅡㄹㅓㄴㄱㅓㄴㅁㅓㄹㅣ','ㄱㅡㄹㅓㄴㅁㅏㄴㅁㅏㄹㄷㅏ',angry
'ㄱㅡㄹㅓㅁㅍㅗㄱㅣㄴㅔㅆㅣㅍㅏㄹ','ㅆㅣㅍㅏㄹ',angry
'ㄱㅡㅁㅏㄴㅈㅗㅁ','ㄱㅚㄹㅗㅂㅎㅣㄷㅏ',angry
'ㄱㅡㅁㅏㄴㅈㅗㅁ','ㄱㅡㅁㅏㄴㄱㅡㅈㅗㅁㅈㅗㄷㅏ',angry
'ㄱㅡㅁㅏㄴㅈㅗㅁ','ㅆㅏㅇㅜㄷㅏ',angry
'ㄱㅡㅉㅗㄱ','ㄱㅡㅈㅗㄹㅈㅗㄷㅏ',angry
'ㄱㅡㄴㄷㅔㄱㅐㄸㅓㄱ','ㄱㅏㅌㄷㅏ',angry
'ㄱㅡㄴㄷㅔㄱㅡㅅㅐㄲㅣㅇㅜㄹㅈㅣㅂ','ㅇㅗㅇㅣㅅㄷㅏ',angry
'ㄱㅡㄴㄷㅔㅅㅡㅌㅓㄷㅣㄷㅗㅎㅏㄱㅣㅅㅣㄹㅓㅈㅣㄹㅈㅣ','ㄱㅕㅇ',angry
'ㄲㅏㅇㅣㅆ','ㅇㅣㅆㄷㅏ',angry
'ㄲㅏㅂㅓㄹㅣㄹㄹㅏㄴㅣㄲㅏㅉㅏㅂㅜ','ㅈㅕ',angry
'ㄲㅏㅂ','ㅈㅣㄹㅏㄹ',angry
'ㄲㅐㄹㄹㅓㅈㅕㅅㅓㅇㅜㄴㄷㅗㅇㅎㅏㄱㅣㅅㅣㄹㅓㅈㅜㄱ','ㅜ',angry
'ㄲㅓㅈㅣ','ㄲㅓㅈㅣㄷㅏ',angry
'ㄲㅓㅈㅣㅉㅏㅈㅡㅇ','ㅉㅏㅈㅡㅇㄲㅏㄷㅏ',angry
'ㄲㅗㄹㅏㅈㅣㅉㅓㄴㅔ','ㅉㅓㄴㅔ',angry
'ㄲㅗㄱㅇㅛㄱ','ㄲㅗㄱㅇㅛㄱㅎㅏㄷㅏ',angry
'ㄲㅗㄹ','ㄱㅔ',angry
'ㄲㅜㅁ','ㄲㅜㅁㄲㅜㄷㅏ',angry
'ㄴㅏ','ㅅㅏㄱㅣ',angry
'ㄴㅏ','ㄴㅏㄴㅏㄷㅏ',angry
'ㄴㅏ','ㄴㅏㅅㅓㄷㅏ',angry
'ㄴㅏ','ㅇㅛㄱㅁㅐㄱㅇㅣㅈㅣㅁㅏㄹㅇㅓ',angry
'ㄴㅏㅂㅗㅇ','ㄴㅏㄷㅏ',angry
'ㄴㅏㄷㅗ','ㄴㅏㄷㅗㄴㅏㄷㅏ',angry
'ㄴㅏㄷㅗ','ㅌㅗㅁㅏㅌㅗㅅㅣㄷㅏ',angry
'ㄴㅏㄷㅜㅅㅏㄹㅃㅏㅈㅕㅆㅇㅓㅡㅡㅎㅐㄱㅗㄹ','ㅎㅐㄱㅗㄹ',angry
'ㄴㅏㄹㅏ','ㄴㅏㄹㅏㅁㅣㅊㅣㄷㅏ',angry
'ㄴㅏㄹㅏㅅ','ㄱㅡㄹㅓㅅㅏㄱㅣㅇㅓㅂㄱㅏㄷㅏ',angry
'ㄴㅏ','ㅈㅏㅇ',angry
'ㄴㅏ','ㄲㅣㄹㅣㄲㅣㄷㅏ',angry
'ㄴㅏㅇㅖㅁㅣㄴ','ㄴㅏㅇㅖㅁㅣㄴ',angry
'ㄴㅏㅌㅓㄱㅅㅏㄹㅉㅕㅅㅓㅂㅜㄹㅍㅕㄴ','ㄴㅏㅌㅓㄱㅅㅏㄹㅉㅕㅅㅓㅂㅜㄹㅍㅕㄴ',angry
'ㄴㅏㅎㅏㄴㅌㅔ','ㅇㅣㅆㄷㅏ',angry
'ㄴㅏㅎㅏㄴㅌㅔ','ㅇㅏㄴㅁㅜㄹㅇㅓㅂㅘ',angry
'ㄴㅏㄴ','ㅈㅜㄹㅈㅜㄷㅏ',angry
'ㄴㅏㄴ','ㄴㅏㄹㄷㅏ',angry
'ㄴㅏㄴ','ㄴㅏㄹㄹㅣㄷㅏ',angry
'ㄴㅏㄴ','ㅈㅣㅊㅣㅁㅈㅣㅊㅣㄷㅏ',angry
'ㄴㅏㄴㅁㅜㅅㅡㄴㅇㅏㅊㅣㅁ','ㅇㅏㅊㅣㅁㄴㅏㄹㄴㅏㄷㅏ',angry
'ㄴㅏㄴㅆㅏㅁㄷㅏㄺ','ㄴㅏㄴㅆㅏㅁㄷㅏㄺ',angry
'ㄴㅏㄴ','ㅁㅝㅎㅏㄷㅏ',angry
'ㄴㅏㄹㄱㅏㅁ','ㅇㅣㄱㅣㄷㅏ',angry
'ㄴㅏㅁ','ㅇㅙㅁㅓㄱㅇㅓㄷㅣㄹㅓㄴㄱㅓㅅ',angry
'ㄴㅐ','ㅁㅜㄴㅈㅏㅆㅣㅂㄷㅏ',angry
'ㄴㅐ','ㄷㅔㄷㅏ',angry
'ㄴㅐ','ㄴㅏㅁㄴㅏㄷㅏ',angry
'ㄴㅐ','ㅎㅐㅎㅏㄷㅏ',angry
'ㄴㅐ','ㄴㅐㅁㅏㄴㄴㅏㄷㅏ',angry
'ㄴㅐ','ㅇㅜㅅㅜㅂㄴㅑ?',angry
'ㄴㅐ','ㅁㅝㅎㅏㄷㅏ',angry
'ㄴㅐ','ㄱㅘㄴㅅㅣㅁㅇㅏㄹㄷㅏ',angry
'ㄴㅐㅁㅏㄹ','ㅁㅏㄹㅇㅏㄹㄷㅏ',angry
'ㄴㅐㅁㅏㄹ','ㅇㅜㅅㅜㅇㅝ?',angry
'ㄴㅐㅁㅏㅁ','ㅈㅗㅁㅈㅗㄷㅏ',angry
'ㄴㅐ','ㄱㅓㄷㅏ',angry
'ㄴㅐㅎㅐㄴㅍㅗㄴㄱㅓㅁㅅㅏㅁㅏㅈㄱㅣㅅㅣㄹㅡㅁ','ㅅㅣㄹㅡㅁ',angry
'ㄴㅐㅁㅅㅐㅉㅓㄹㅇㅓ','ㄴㅐㅁㅅㅐㅉㅓㄹㅇㅓ',angry
'ㄴㅓㄱㅏ','ㅁㅐㅁㅐㄷㅏ',angry
'ㄴㅓㅁㅜㄱㅓㄹ','ㄴㅐㄴㅐㄷㅏ',angry
'ㄴㅓㅈㅜㄱ','ㄴㅓㅈㅜㄱㄷㅏ',angry
'ㄴㅓㅊㅓㄴㅎㅗㄷㅗㅇㅇㅘㅅㄴㅡㄴㄷㅔㅇㅕㄴㄹㅏㄱ','ㄴㅓㅇㅏㄴㅎㅏㄷㅏ',angry
'ㄴㅓㄴ','ㄱㅡㄹㅐㅅㅓㅇㅏㄴㄷㅏ',angry
'ㄴㅓㄴ','ㄱㅗㅇㅂㅜㅎㅏㄷㅏ',angry
'ㄴㅓㄴ','ㄴㅓㄴㄴㅓㄹㄷㅏ',angry
'ㄴㅓㄴㄴㅐㅁㅅㅐㄴㅏㅇ','ㄴㅓㄴㄴㅐㅁㅅㅐㄴㅏㅇ',angry
'ㄴㅓㄼㅁㅏㅁ','ㅇㅣㅎㅐㅎㅏㄷㅏ',angry
'ㄴㅗㄹㅇㅣㅆ','ㅇㅣㅆㄷㅏ',angry
'ㄴㅗㄹㄹㅓㄱㅏㅆㅏㅇㅜ','ㄱㅓ',angry
'ㄴㅜㄱㅏㅂㅏㅇㄱㅜㄲㅕㅅㅓㄸㅗ','ㄸㅗ',angry
'ㄴㅜㄴ','ㄱㅏㅈㅣㄷㅏ',angry
'ㄴㅣㅁㅓㅅㄷㅔ','ㅅㅏㄹㅂㅗㄷㅏ',angry
'ㄴㅣㅅㅣㅁㅅㅜㄹㅉㅓㄴㄷㅏ','ㅉㅓㄴㄷㅏ',angry
'ㄴㅣㅇㅓㄹㄱㅜㄹ','ㄷㅏㅅㅡ',angry
'ㄴㅣㅇㅓㄹㄱㅜㄹ','ㄴㅏㅋㅣㄷㅏ',angry
'ㄴㅣ','ㅅㅜㅇㅣㅆㄷㅏ',angry
'ㄴㅣ','ㄷㅗㄹㅇㅏㅆㄱㅜ',angry
'ㄴㅣ','ㅇㅣㅆㄷㅏ',angry
'ㄴㅣ','ㅇㅣㅂㄷㅏㅁㅜㄹㄷㅏ',angry
'ㄴㅣㄴㅔㄸㅐㅁㅅㅣㅅㅣㄱㅅㅣㄴㄱㅏㅇㄹㅣㅁㅎㅏㅅㅕㄸㅏ','ㅁㅣ',angry
'ㄴㅣㅁㅣㅅㅣㅂㅓㄹㄴㅗㅁ','ㅁㅏㄹㄴㅏㄴㅏㄷㅏ',angry
'ㄴㅣㅁㅣㅅㅣㅂㅜㄹㅏㄹ','ㅈㅗㅈㄱㅏㅌㄷㅏ',angry
'ㄴㅣㅅㅏㅈㅓㅇ','ㄴㅣㅅㅏㅈㅓㅇ',angry
'ㄷㅏㄱㅊㅣ','ㄷㅏㄱㅊㅣㄷㅏ',angry
'ㄷㅏㄱㅊㅣㅇㅣㅈㅔ','ㄷㅏㄱㅊㅣㄷㅏ',angry
'ㄷㅏㄱㅊㅛ','ㄷㅏㄱㅊㅛ',angry
'ㄷㅏㄱㅊㅣㄲㅡㅌㄴㅐ','ㄲㅡㅌㄴㅐㄷㅏ',angry
'ㄷㅏㄱㅊㅣㄷㅡㄹㅇㅓㄱㅏ','ㄷㅡㄹㅇㅓㄱㅏㄷㅏ',angry
'ㄷㅏㄺㅂㅏㄹ','ㅁㅗㅇㅛㄱㅎㅐㅅㅇㅓ',angry
'ㄷㅏㅂㅇㅏㄴㅈㅣㅁㅣㄹㄹㅕㅆㅓㅆㅇㅓ','ㅁㅣㄹㄹㅕㅆㅓㅆㅇㅓ',angry
'ㄷㅏㅇㅇㅕㄴ','ㅎㅏㄷㅏ',angry
'ㄷㅐㄱㅏㄹㅣ','ㄷㅗㄹㄷㅡㄹㄷㅏ',angry
'ㄷㅐㄷㅏㅂ','ㄷㅐㄷㅏㅂㅎㅏㄷㅏ',angry
'ㄷㅐㄷㅏㅂㅎㅐ','ㅎㅐㅎㅏㄷㅏ',angry
'ㄷㅐㅍㅗㄱㄹㅏㄱ','ㅇㅗㄷㅏ',angry
'ㄷㅓㅇㅣㅅㅏㅇ','ㅁㅏㄹㅇㅓㅄㄷㅏ',angry
'ㄷㅓㅇㅜ','ㅅㅓㅇㄱㅕㄱㄴㅏㅇㅗㄷㅏ',angry
'ㄷㅓㄱㅎㅜ','ㄸㅏㅆㅓㅁㅓㄱㅇㅓ',angry
'ㄷㅗㄷㅐㅊㅔㅈㅣㄱㅡㅁ','ㅇㅣㄴㅈㅔ',angry
'ㄷㅗㄹㅗㄷㅗ','ㄲㅘㄱㅁㅏㄱㅎㅕㅆㅇㅓ',angry
'ㄷㅗㄹㅗ','ㄷㅏㅂㄷㅏㅂㅎㅏㄷㅏ',angry
'ㄷㅗㄹㅗ','ㅈㅜㅊㅏㅈㅏㅇㄷㅚㄷㅏ',angry
'ㄷㅗㄱㅅㅓㅅㅣㄹㄷㅗㅇㅅㅐㅇㅎㅐㅇㄷㅗㅇㅎㅏ','ㅇㅕㄹ',angry
'ㄷㅗㄱ','ㄱㅏㅁㅈㅓㅇㅇㅓㅄㄷㅏ',angry
'ㄷㅗㄹㅇㅏㅆ','ㄷㅟㅈㅣㄷㅏ',angry
'ㄷㅗㄹㅇㅏㅆㄴㅑ','ㄷㅗㄹㅇㅏㅆㄴㅑ',angry
'ㄷㅙㅈㅣ','ㄷㅙㅈㅣ',angry
'ㄷㅚㅁㅏㄹ','ㅁㅏㄹㅁㅏㄹㄷㅏ',angry
'ㄷㅚㄴㅐ','ㄱㅓㅇㅑㄱㅓㄷㅏ',angry
'ㄷㅜㄱㅗㅂㅗ','ㄷㅜㄱㅗㅂㅗㄷㅏ',angry
'ㄷㅟㅈㅣㅅㅣㅍ','ㅅㅣㅍㄷㅏ',angry
'ㄷㅟㅈㅣㅎㅘㄴㅈㅏㅇ','ㅇㅙㅇㅚㄷㅏ',angry
'ㄷㅡㄷㄱㅣ','ㅇㅣㅂㄷㅏㅁㅜㄹㄷㅏ',angry
'ㄷㅡㄷㅂㅗㅈㅏㅂ','ㅇㅣㅅㅇㅡ',angry
'ㄷㅣㅈㅣ','ㅅㅣㅍㄷㅏ',angry
'ㄷㅣㅈㅣ','ㅎㅘㄴㅈㅏㅇㅎㅏㄷㅏ',angry
'ㄷㅣㅈㅣㄹㄹㅕ','ㅎㅘㄴㅈㅏㅇㅎㅏㄷㅏ',angry
'ㄸㅏㄴㅕㄴ','ㄲㅡㄷㅏ',angry
'ㄸㅏㅇ','ㅅㅏㅁㅏㄹㄷㅏ',angry
'ㄸㅒㄹㅕㅊㅣㅈㅏ','ㄸㅒㄹㅕㅊㅣㅈㅏ',angry
'ㄸㅓㅆㄱㅔㅆㄱㅜㄴ..ㅎㅡㅁ.','ㅈㅣㄷㅓㄴㅈㅣㄷㅏ',angry
'ㄹㅗㅅㄷㅔㄹㅣㅇㅏㅇㅗㄱㅅㅏㅇ','ㅇㅘㅇㅗㄷㅏ',angry
'ㅁㅏㄴㄴㅏㅎㅏ','ㅇㅣㄹㅉㅣㄱㅇㅣㄹㅇㅓㄴㅏㄷㅏ',angry
'ㅁㅏㄶㅂㅕㄴ','ㅂㅕㄴㅎㅏㄷㅏ',angry
'ㅁㅏㄹㅈㅣ','ㄲㅏㄹㄷㅏ',angry
'ㅁㅏㄹㅈㅣ','ㅌㅗㅇㅘㅇㅗㄷㅏ',angry
'ㅁㅏㄹ','ㄷㅡㄷㄷㅏ',angry
'ㅁㅏㄹㅇㅡㄹ','ㅁㅏㄹㄷㅏ',angry
'ㅁㅏㄹㄹㅗ','ㅗ',angry
'ㅁㅏㄹㅇㅏㄴ','ㄲㅡㄷㅏ',angry
'ㅁㅏㄹㅇㅏㄴ','ㅌㅗㅇㅎㅏㄷㅏ',angry
'ㅁㅏㅇ','ㅎㅏㄹㅎㅏㄷㅏ',angry
'ㅁㅏㅈㅅㅣㅍ','ㅅㅣㅍㄷㅏ',angry
'ㅁㅐㄴㅣㅈㅓㄱㅛㅇㅠㄱㄸㅣㅂㅏㄱ','ㄸㅣㅂㅏㄱ',angry
'ㅁㅐㅊㅣㄴ','ㅁㅐㅊㅣㄴ',angry
'ㅁㅐㅊㅣㄴㄱㅓㅅㅋㅗㅇㄲㅏㄱㄷㅣ','ㄴㅏㅇㅗㄷㅏ',angry
'ㅁㅓㄹㅣ','ㅈㅣㄱㅇㅏㅍㅡㄷㅏ',angry
'ㅁㅗㅇㅢㄱㅗㅁㅗㅇㅢ','ㅁㅗㅇㅢㅅㅏㄷㅏ',angry
'ㅁㅗㄱ','ㄱㅜㅂㅜㄴㅁㅗㅅㅎㅏㄷㅏ',angry
'ㅁㅜㅅㅣ','ㅁㅜㅅㅣㅎㅏㄷㅏ',angry
'ㅁㅝㅇㅣㅅㅐㄲㅣ','?',angry
'ㅁㅝ?ㅁㅏㄱㅁㅏㄹㅎㅏㅈㅣㅁㅏㄹㅏ','ㄹㅏ',angry
'ㅁㅝㅇㅑㅁㅏㄴ','ㅇㅣㅆㄷㅏ',angry
'ㅁㅝㄴㅋㅏㅌㅗㄱ','ㅇㅣㄹㅓㅎㄱㅔㅁㅏㄶㅇㅓ',angry
'ㅁㅣㄹㅣ','ㅅㅓㅅㅓㄷㅏ',angry
'ㅁㅣㄹㅣ','ㅎㅏㅈㅣㅎㅏㄷㅏ',angry
'ㅁㅣㅊㅣㄱㅏㅈㅣ','ㄱㅔ',angry
'ㅁㅣㅊㅕㅂㅓㄹㅣㄱㅔㅆㄷㅏ','ㅁㅣㅊㅕㅂㅓㄹㅣㄱㅔㅆㄷㅏ',angry
'ㅁㅣㅊㅣ','ㅁㅣㅊㅣㄷㅏ',angry
'ㅁㅣㅊㅣㅅㅣㄱㅏㄴㅈㅗㅁ','ㅈㅣㅋㅣㄷㅏ',angry
'ㅁㅣㅊㅣㄱㅐㅇ','ㅁㅣㅊㅣㄷㅏ',angry
'ㅁㅣㅊㅣㄱㅔ','ㄱㅔㅂㅜㄴㅁㅕㅇㅎㅏㄷㅏ',angry
'ㅁㅣㅊㅣㄴㅗㅁㄱㅡㄴㅗㅁ','ㅁㅣㅊㅣㄷㅏ',angry
'ㅁㅣㅊㅣㅂㅕㅇㅅㅣㄴㅅㅐㄲㅣ','ㅁㅣㅊㅣㄷㅏ',angry
'ㅁㅣㅊㅣㅅㅐㄲㅣ','ㄱㅡ',angry
'ㅂㅅ','ㅂㅅ',angry
'ㅂㅏㅂ','ㄴㅏㄴㅏㄷㅏ',angry
'ㅂㅕㄹㄱㅐ','ㄱㅏㅈㅣㄷㅏ',angry
'ㅂㅕㅇㅅㅣㄴㅅㅐㄲㅣ','ㄱㅡ',angry
'ㅂㅕㅇㅅㅣㄴ','ㅂㅕㅇㅅㅣㄴ',angry
'ㅂㅜㄷㅗㅇㅅㅏㄴㄱㅠㅈㅔㅈㅗㄴ','ㅍㅜㄹㄷㅏ',angry
'ㅂㅠㅇㄸㅣㄴ','ㄲㅏㄹㄷㅏ',angry
'ㅃㅏㅋㅠ','ㅃㅏㅋㅠ',angry
'ㅃㅏㄱㅊㅏㅇㅣㄹㅏㄴ','ㅎㅏㄴㅌㅔ',angry
'ㅃㅏㄱㅊㅣㄱㅔ','ㅎㅏㄷㅏ',angry
'ㅃㅏㄱㅊㅣㄱㅔ','ㅈㅐㅈㅜㅇㅣㅆㄷㅏ',angry
'ㅄ','ㅄ',angry
'ㅅㅂ','ㅅㅂ',angry
'ㅅㅂㄴㅁ','ㅅㅂㄴㅁ',angry
'ㅅㅂㄴㅕㄴ','ㅅㅂㄴㅕㄴ',angry
'ㅅㅂㄴㅗㅁ','ㅅㅂㄴㅗㅁ',angry
'ㅅㅂ','ㅇㅣㄹㅇㅓㅄㄷㅏ',angry
'ㅅㅏㄱㅗ','ㅅㅏㄱㅗㅃㅓㄴㅎㅏㄷㅏ',angry
'ㅅㅏㄹㅏㅇ','ㅅㅏㄹㅏㅇ',angry
'ㅅㅏㅅㅓ','ㅆㅡㅆㅡㄷㅏ',angry
'ㅅㅏㄹ','ㅈㅗㅇㅁㅗㄱㅇㅓㅄㄷㅏ',angry
'ㅅㅏㄹ','ㄱㅖㅅㅗㄱㅉㅕ',angry
'ㅅㅏㄹㅁㅜㄴㅈㅔ','ㅁㅜㄴㅈㅔ',angry
'ㅅㅏㄹㅈㅗㅁㅃㅐㄷㅙㅈㅣㄴㅕㄴ','ㄷㅙㅈㅣㄴㅕㄴ',angry
'ㅅㅐㅇㄱㅏㄱ','ㅗㅗ',angry
'ㅅㅐㅇㄱㅣㄱㅓ','ㄱㅏㅈㅣㄷㅏ',angry
'ㅅㅐㅇㄹㅣ','ㅇㅖㅁㅣㄴㅎㅏㄷㅏ',angry
'ㅅㅑㅇㅗ','ㅗ',angry
'ㅅㅑㅇㄴㅕㄴㄷㅗㄹ','ㅎㅏㄹㅎㅏㄷㅏ',angry
'ㅅㅓㅇㅜㄴㅎㅏㄷㅣ','ㅗㅗ',angry
'ㅅㅓㅇㄱㅕㄱㄱㅓㅈㅣ','ㄱㅓㅈㅣ',angry
'ㅅㅓㅇㅎㅕㅇㄴㅕㄷㅡㄹㄷㅓㄹㅓ','ㅇㅝ',angry
'ㅅㅗㅅㅣㅁ','ㄷㅏㅂㄷㅏㅂㅎㅏㄷㅏ',angry
'ㅅㅗㄴㄴㅕㄸㅏㄹ','ㅁㅝㅈㅓㄹㅐ',angry
'ㅅㅗㄹㅈㅣㄱ','ㄱㅏㄱㅏㄷㅏ',angry
'ㅅㅜㄹ','ㅇㅣ',angry
'ㅅㅜㄹㅊㅓㅁㅓㄱㄱㅗ','ㅅㅜㄹㅊㅓㅁㅓㄱㄱㅗ',angry
'ㅅㅞㅅ','ㅅㅞㅅ',angry
'ㅅㅟㅂㅏㄹㄹㅏㄹㄹㅏㄴㅔ','ㅅㅟㅂㅏㄹㄹㅏㄹㄹㅏㄴㅔ',angry
'ㅅㅡㅌㅓㄷㅣ','ㅆㅓㅅㅓㅇㅕㄹ',angry
'ㅅㅡㅌㅡㄹㅔㅅㅡ','ㅅㅡㅌㅡㄹㅔㅅㅡ',angry
'ㅅㅣㄲㅡㄹㅓㅡㅡ','ㅅㅣㄲㅡㄹㅓㅡㅡ',angry
